numero_ocorrencia,data_ocorrencia,ano,municipio,dia_semana,bairro,estado,endereco,tipo_endereco,risp,local_especifico,grupo,subgrupo,natureza,faixa_etaria,sexo
40889487,2025-03-23 16:08:00.000,2025,GOIÂNIA,DOMINGO,CAPUAVA,GO,RUA BARÃO DE MONTEZUMA,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40888735,2025-03-23 15:35:00.000,2025,GOIÂNIA,DOMINGO,SETOR LESTE VILA NOVA,GO,AV MARGINAL BOTAFOGO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40694759,2025-03-11 18:19:00.000,2025,GOIÂNIA,TERÇA,VILA ROSA,GO,ALAMEDA ALIANÇA,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),35 A 64,FEMININO
40616565,2025-03-06 21:27:41.570,2025,GOIÂNIA,QUINTA,SETOR LESTE UNIVERSITÁRIO,GO,RUA 242,URBANO,01ª RISP - GOIÂNIA,CONDOMÍNIO VERTICAL (PRÉDIO),BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40509175,2025-02-28 12:34:00.000,2025,GOIÂNIA,SEXTA,SETOR OESTE,GO,RUA 7,URBANO,01ª RISP - GOIÂNIA,CONDOMÍNIO VERTICAL (PRÉDIO),BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40458615,2025-02-25 13:41:00.000,2025,GOIÂNIA,TERÇA,SETOR SUL,GO,RUA 87,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40441286,2025-02-24 13:50:00.000,2025,GOIÂNIA,SEGUNDA,SETOR CÂNDIDA DE MORAIS,GO,AVENIDA PERIMETRAL NORTE,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
40441107,2025-02-24 13:11:00.000,2025,GOIÂNIA,SEGUNDA,VILA FINSOCIAL,GO,RUA VF 84,URBANO,01ª RISP - GOIÂNIA,RESIDÊNCIA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),25 A 29,MASCULINO
40221714,2025-02-11 13:14:00.000,2025,GOIÂNIA,TERÇA,NOSSA SENHORA DE FÁTIMA,GO,AVENIDA CONSOLAÇÃO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO-INFORMADO
40214596,2025-02-10 22:23:00.000,2025,GOIÂNIA,SEGUNDA,CELINA PARK,GO,AVENIDA MILÃO,URBANO,01ª RISP - GOIÂNIA,RUA/AVENIDA,BUSCA E SALVAMENTO (4),DIVERSOS (404),ALAGAMENTO (40406),NÃO INFORMADO,NÃO INFORMADO
